expID,coreSize,sio2Size,shellSize,outerBoolean
1512551,15,5.5,12.0,outer
256560,25,6.0,6.5,inner
202550,20,5.0,2.5,inner
10201,0,20.0,10.0,outer
257550,25,5.0,7.5,inner
254581,25,8.0,4.5,outer
2010101,20,10.0,10.0,outer
107131,10,13.0,7.0,outer
1561150,15,11.5,6.0,inner
591350,5,13.5,9.0,inner
581451,5,14.5,8.0,outer
109111,10,11.0,9.0,outer
20101250,20,12.5,10.0,inner
201051,20,5.0,10.0,outer
561650,5,16.5,6.0,inner
1513451,15,4.5,13.0,outer
2010150,20,15.0,10.0,inner
258540,25,4.0,8.5,inner
106141,10,14.0,6.0,outer
207550,20,5.0,7.5,inner
159851,15,8.5,9.0,outer
101551,10,5.0,15.0,outer
255570,25,7.0,5.5,inner
1510751,15,7.5,10.0,outer
259531,25,3.0,9.5,outer
571550,5,15.5,7.0,inner
10151,0,15.0,10.0,outer
515750,5,7.5,15.0,inner
1551250,15,12.5,5.0,inner
158951,15,9.5,8.0,outer
551751,5,17.5,5.0,outer
1571051,15,10.5,7.0,outer
20550,20,5.0,5.0,inner
2010751,20,7.5,10.0,outer
105151,10,15.0,5.0,outer
108120,10,12.0,8.0,inner
5101250,5,12.5,10.0,inner
255750,25,7.5,5.0,inner
1010101,10,10.0,10.0,outer
1511651,15,6.5,11.0,outer
2510521,25,2.0,10.5,outer
2010251,20,2.5,10.0,outer
258541,25,4.0,8.5,outer
102251,0,22.5,10.0,outer
2010151,20,15.0,10.0,outer
207551,20,5.0,7.5,outer
10251,0,25.0,10.0,outer
106140,10,14.0,6.0,inner
20101251,20,12.5,10.0,outer
201050,20,5.0,10.0,inner
109110,10,11.0,9.0,inner
591351,5,13.5,9.0,outer
581450,5,14.5,8.0,inner
561651,5,16.5,6.0,outer
1513450,15,4.5,13.0,inner
20001,20,0.0,0.0,outer
202551,20,5.0,2.5,outer
1561151,15,11.5,6.0,outer
107130,10,13.0,7.0,inner
2010100,20,10.0,10.0,inner
257551,25,5.0,7.5,outer
254580,25,8.0,4.5,inner
1512550,15,5.5,12.0,inner
256561,25,6.0,6.5,outer
1010100,10,10.0,10.0,inner
255751,25,7.5,5.0,outer
108121,10,12.0,8.0,outer
5101251,5,12.5,10.0,outer
75151,0,15.0,7.5,outer
5151,0,15.0,5.0,outer
2510520,25,2.0,10.5,inner
2010250,20,2.5,10.0,inner
1511650,15,6.5,11.0,inner
551750,5,17.5,5.0,inner
158950,15,9.5,8.0,inner
2010750,20,7.5,10.0,inner
105150,10,15.0,5.0,inner
20551,20,5.0,5.0,outer
1571050,15,10.5,7.0,inner
515751,5,7.5,15.0,outer
571551,5,15.5,7.0,outer
259530,25,3.0,9.5,inner
101251,0,12.5,10.0,outer
1510750,15,7.5,10.0,inner
1551251,15,12.5,5.0,outer
101751,0,17.5,10.0,outer
255571,25,7.0,5.5,outer
101550,10,5.0,15.0,inner
159850,15,8.5,9.0,inner
