lambda,qEXT,qSCA,qABS,eSQU
400,0.003347689,0.000253766,0.003093922,2.1636327
410,0.003287652,0.000234734,0.003052918,2.1844322
420,0.003214847,0.000215458,0.00299939,2.1936044
430,0.003140676,0.000196889,0.002943787,2.1936875
440,0.003084269,0.000180338,0.002903931,2.1909043
450,0.00302593,0.000164456,0.002861474,2.1794465
460,0.00292904,0.000146497,0.002782543,2.1398018
470,0.002861239,0.000132378,0.002728861,2.1132165
480,0.002824022,0.000121392,0.002702629,2.0969951
490,0.002866561,0.000118801,0.00274776,2.1516902
500,0.003048825,0.000130622,0.002918203,2.3606169
510,0.003418046,0.000165772,0.003252274,2.8684624
520,0.00400854,0.000237258,0.003771282,3.9089177
530,0.004936797,0.000354999,0.004581798,5.7118735
540,0.00629668,0.000544559,0.005752121,8.7855811
550,0.008138929,0.000831162,0.007307767,13.797839
560,0.010200925,0.00121953,0.008981395,21.236605
570,0.011593677,0.001614099,0.009979578,29.862377
580,0.010796945,0.001735745,0.0090612,34.415323
590,0.00805657,0.00147587,0.0065807,31.551802
600,0.005410454,0.001117479,0.004292976,25.834946
610,0.003598284,0.00082861,0.002769674,20.737991
620,0.002468097,0.000628429,0.001839668,17.0186
630,0.001756721,0.000493102,0.001263619,14.430156
640,0.001293384,0.000395986,0.000897397,12.509195
650,0.000983447,0.000324888,0.00065856,11.062205
660,0.000771029,0.000271522,0.000499507,9.9467612
670,0.000630422,0.000230064,0.000400358,9.0519865
680,0.00052723,0.000197436,0.000329795,8.3331139
690,0.000450361,0.000171365,0.000278996,7.7486431
700,0.000391759,0.000150144,0.000241615,7.2629803
710,0.000345746,0.000132644,0.000213102,6.8540189
720,0.000307461,0.00011796,0.000189501,6.5027469
730,0.000275222,0.000105543,0.00016968,6.1977209
740,0.000248322,9.50E-05,0.000153356,5.9330298
750,0.000225734,8.59E-05,0.000139874,5.7014978
760,0.000206824,7.80E-05,0.000128862,5.4981319
770,0.000190615,7.11E-05,0.000119563,5.3174644
780,0.000176307,6.50E-05,0.000111317,5.1563905
790,0.000163511,5.96E-05,0.000103874,5.0113318
800,0.000152001,5.49E-05,9.71E-05,4.8794992
810,0.000141722,5.06E-05,9.11E-05,4.7598581
820,0.000132557,4.68E-05,8.57E-05,4.6512638
830,0.000123448,4.34E-05,8.00E-05,4.5519414
840,0.000115424,4.03E-05,7.51E-05,4.4618565
850,0.00010834,3.76E-05,7.08E-05,4.3796
860,0.000102022,3.50E-05,6.70E-05,4.3039647
870,9.64E-05,3.28E-05,6.36E-05,4.2340511
880,9.14E-05,3.07E-05,6.07E-05,4.1692366
890,8.69E-05,2.88E-05,5.82E-05,4.1091938
900,8.36E-05,2.70E-05,5.66E-05,4.0544078
