lambda,qEXT,qSCA,qABS,eSQU
400,0.002188794,0.000107289,0.002081505,1.8966255
410,0.002148255,9.89E-05,0.002049361,1.9100826
420,0.002099422,9.05E-05,0.002008937,1.9149455
430,0.002047912,8.23E-05,0.001965576,1.9120554
440,0.002002677,7.48E-05,0.001927872,1.9039132
450,0.00195424,6.76E-05,0.001886663,1.8883681
460,0.001882953,5.98E-05,0.001823202,1.8536691
470,0.001827113,5.34E-05,0.001773679,1.8267795
480,0.001778985,4.80E-05,0.001730993,1.8002431
490,0.001772232,4.56E-05,0.001726595,1.8182184
500,0.001830401,4.81E-05,0.001782332,1.9269687
510,0.001964677,5.76E-05,0.001907038,2.2034333
520,0.002172801,7.72E-05,0.002095589,2.7600445
530,0.002551547,0.000110524,0.002441024,3.7439511
540,0.003125196,0.000164717,0.002960478,5.4165975
550,0.004010393,0.000254578,0.003755815,8.3279968
560,0.005304597,0.00040274,0.004901857,13.438663
570,0.007257642,0.000653661,0.006603981,22.675915
580,0.009586781,0.001011088,0.008575692,37.008361
590,0.010361465,0.00125884,0.009102625,49.131619
600,0.008193597,0.00113321,0.007060387,47.482797
610,0.005358788,0.00083377,0.004525018,37.645035
620,0.00340433,0.000590842,0.002813488,28.783211
630,0.002236894,0.000432047,0.001804848,22.709592
640,0.001531428,0.000325421,0.001206006,18.456411
650,0.001096175,0.000252946,0.000843229,15.472643
660,0.000819378,0.000202208,0.00061717,13.327143
670,0.000646822,0.000165091,0.00048173,11.711497
680,0.000526532,0.000137397,0.000389135,10.479751
690,0.000440715,0.000116221,0.000324494,9.5170404
700,0.000377745,9.96E-05,0.000278129,8.7425228
710,0.000329963,8.63E-05,0.000243643,8.111327
720,0.000292394,7.54E-05,0.000216948,7.5879343
730,0.000262789,6.65E-05,0.000196262,7.1517693
740,0.000238566,5.92E-05,0.000179409,6.7853454
750,0.000218389,5.29E-05,0.000165461,6.469568
760,0.000201793,4.76E-05,0.000154176,6.1947534
770,0.000188083,4.30E-05,0.00014505,5.9544988
780,0.000176718,3.91E-05,0.000137652,5.746206
790,0.000167494,3.56E-05,0.000131875,5.5662187
800,0.000159897,3.26E-05,0.000127279,5.4120293
810,0.000153226,3.00E-05,0.000123229,5.2772408
820,0.000147207,2.77E-05,0.000119509,5.157527
830,0.000140675,2.57E-05,0.000115009,5.0516932
840,0.00013327,2.39E-05,0.000109392,4.9484712
850,0.000124183,2.23E-05,0.00010191,4.8414807
860,0.000114269,2.08E-05,9.35E-05,4.7327257
870,0.000104278,1.94E-05,8.48E-05,4.624233
880,9.49E-05,1.82E-05,7.68E-05,4.5191939
890,8.67E-05,1.70E-05,6.97E-05,4.4215512
900,8.02E-05,1.59E-05,6.43E-05,4.3318768
