#Lambda,Qext,Qsca,Qabs,E^2
400.0,0.002285064,0.00010803289999999997,0.0021770311,1.469444
410.0,0.0022421055,9.965069999999998e-05,0.0021424548,1.4780374
420.0,0.0021919577,9.135609999999994e-05,0.0021006016,1.4826705
430.0,0.002135678,8.313929999999997e-05,0.0020525387,1.4818762
440.0,0.002074753,7.498520000000014e-05,0.0019997678,1.4737438
450.0,0.0020083193,6.71341999999998e-05,0.0019411851,1.4605577
460.0,0.0019266148,5.919189999999998e-05,0.0018674229,1.4406384
470.0,0.0018533516,5.243960000000003e-05,0.001800912,1.4212784
480.0,0.0017719491,4.5971300000000005e-05,0.0017259778,1.3950711
490.0,0.0017197705,4.203179999999994e-05,0.0016777387,1.3847535
500.0,0.0017064225,4.14383999999999e-05,0.0016649841,1.4040551
510.0,0.0017335923,4.50063000000001e-05,0.001688586,1.4738521
520.0,0.0017903818,5.238490000000003e-05,0.0017379969,1.6096732
530.0,0.0019155083,6.261219999999994e-05,0.0018528961,1.8210262
540.0,0.002045385,7.441969999999985e-05,0.0019709653,2.1054236
550.0,0.0021914116,9.109610000000018e-05,0.0021003155,2.5165132
560.0,0.0023484213,0.00011567089999999988,0.0022327504,3.1015731
570.0,0.0025786065,0.00015616259999999983,0.0024224439,3.9805739
580.0,0.0029614323,0.00022300680000000026,0.0027384255,5.3879761
590.0,0.0036712511,0.00033917539999999986,0.0033320757,7.9370399
600.0,0.0048938165,0.0005420989000000003,0.0043517176,12.70928
610.0,0.0070144265,0.0009108635000000002,0.006103563,21.964347
620.0,0.010669855,0.0015976488000000004,0.0090722062,40.311843
630.0,0.016341328,0.0027986309999999993,0.013542697,74.673687
640.0,0.021252105,0.004102154,0.017149951,116.48355
650.0,0.018110289,0.0038799840000000013,0.014230305,117.6651
660.0,0.011292763,0.0026365172000000006,0.0086562458,85.571022
670.0,0.0067921909,0.0016662424999999998,0.0051259484,57.930601
680.0,0.0043450176,0.0011075679999999997,0.0032374496,41.251706
690.0,0.0029843358,0.0007813631000000002,0.0022029727,31.164856
700.0,0.0021704964,0.0005776524000000002,0.001592844,24.662205
710.0,0.0016523949,0.0004437454000000001,0.0012086495,20.264743
720.0,0.0012931581,0.00035010115000000007,0.00094305695,17.092405
730.0,0.001041618,0.00028330661000000004,0.00075831139,14.773908
740.0,0.00086327796,0.00023476093000000006,0.00062851703,13.060384
750.0,0.00073003963,0.00019785603000000004,0.0005321836,11.729883
760.0,0.00062799592,0.00016909668000000003,0.00045889924,10.669206
770.0,0.00054685648,0.000146022,0.00040083448,9.7988213
780.0,0.00048075312,0.00012732408,0.00035342904,9.0794356
790.0,0.00042610696,0.00011195307000000002,0.00031415389,8.475148
800.0,0.00038061139,9.915531999999999e-05,0.00028145607,7.9633749
810.0,0.00034231267,8.839467999999999e-05,0.00025391799,7.5251125
820.0,0.00030985643,7.925900000000004e-05,0.00023059743,7.1463703
830.0,0.00027955539,7.138293999999997e-05,0.00020817245,6.8139069
840.0,0.00025366242,6.460921999999999e-05,0.0001890532,6.5230656
850.0,0.0002315763,5.874219999999999e-05,0.0001728341,6.2667715
860.0,0.00021285109,5.3622070000000014e-05,0.00015922902,6.0411186
870.0,0.00019684102,4.912989000000002e-05,0.00014771113,5.840944
880.0,0.00018306224,4.516241999999999e-05,0.00013789982,5.6616495
890.0,0.00017125771,4.164265e-05,0.00012961506,5.5009962
900.0,0.00016252512,3.855870999999999e-05,0.00012396641,5.3597541
