#Lambda,Qext,Qsca,Qabs,E^2
400.0,2.7181044e-05,-3.9486442000000004e-05,6.6667486e-05,3.2167381
410.0,2.6463923e-05,-3.9781687000000003e-05,6.624561e-05,3.2723601
420.0,2.5779316e-05,-3.950650600000001e-05,6.5285822e-05,3.2985744
430.0,2.5639116e-05,-3.919901e-05,6.4838126e-05,3.3370842
440.0,2.6982477e-05,-3.9877868e-05,6.6860345e-05,3.4659479
450.0,2.8810515e-05,-4.0478545e-05,6.928906e-05,3.6199798
460.0,2.9964532e-05,-3.9236587e-05,6.9201119e-05,3.6693213
470.0,3.212202e-05,-3.9362945999999995e-05,7.1484966e-05,3.840618
480.0,3.7705323e-05,-4.2526490999999995e-05,8.0231814e-05,4.2735036
490.0,4.6358191e-05,-5.1564707000000004e-05,9.7922898e-05,5.1999254
500.0,6.1973142e-05,-7.517568800000001e-05,0.00013714883,7.442398
510.0,8.7990207e-05,-0.00012901661300000002,0.00021700682,12.812738
520.0,0.00012327989,-0.00023461783999999998,0.00035789773,24.970546
530.0,0.00013268296,-0.00036471187999999994,0.00049739484,42.182047
540.0,0.00010447858,-0.0004935441099999999,0.00059802269,62.917789
550.0,4.1451795e-05,-0.000585901385,0.00062735318,82.597402
560.0,-3.2173837e-05,-0.0006596283270000001,0.00062745449,104.23955
570.0,-0.00011593517,-0.00074201859,0.00062608342,131.93055
580.0,-0.00021734842,-0.00086165457,0.00064430615,171.93376
590.0,-0.00034212096,-0.0010074967500000001,0.00066537579,222.73923
600.0,-0.00042908728,-0.00103521158,0.0006061243,251.8843
610.0,-0.00037619351,-0.0007890211,0.00041282759,209.89822
620.0,-0.00025047232,-0.00047598243,0.00022551011,138.00941
630.0,-0.00015380945,-0.00027350789,0.00011969844,86.714688
640.0,-9.4680003e-05,-0.000161472424,6.6792421e-05,55.419812
650.0,-6.0407219e-05,-0.000101249369,4.084215e-05,37.144244
660.0,-4.010951e-05,-6.787310100000001e-05,2.7763591e-05,26.184785
670.0,-2.8029547e-05,-4.8982387e-05,2.095284e-05,19.163681
680.0,-2.0129944e-05,-3.6347311e-05,1.6217367e-05,14.433632
690.0,-1.5009471e-05,-2.7641878e-05,1.2632407e-05,11.125864
700.0,-1.1632934e-05,-2.15234209e-05,9.8904869e-06,8.7237074
710.0,-9.4604473e-06,-1.71490468e-05,7.6885995e-06,6.9594479
720.0,-7.892627e-06,-1.38456341e-05,5.9530071e-06,5.6216771
730.0,-6.730616e-06,-1.1464577199999999e-05,4.7339612e-06,4.6287435
740.0,-5.886334e-06,-9.8114455e-06,3.9251115e-06,3.8945147
750.0,-5.22257e-06,-8.5636146e-06,3.3410446e-06,3.3209091
760.0,-4.7064235e-06,-7.6125140999999994e-06,2.9060906e-06,2.8649095
770.0,-4.251083e-06,-6.8242267000000005e-06,2.5731437e-06,2.4930448
780.0,-3.8446578e-06,-6.1646703e-06,2.3200125e-06,2.1878926
790.0,-3.4881714e-06,-5.593576099999999e-06,2.1054047e-06,1.9312386
800.0,-3.187134e-06,-5.0862438e-06,1.8991098e-06,1.7116005
810.0,-2.9351792e-06,-4.6397059999999996e-06,1.7045268e-06,1.5248958
820.0,-2.7140227e-06,-4.258892e-06,1.5448693e-06,1.368409
830.0,-2.4866229e-06,-3.914714e-06,1.4280911e-06,1.2389185
840.0,-2.2868875e-06,-3.6455637000000003e-06,1.3586762e-06,1.1324972
850.0,-2.1223095e-06,-3.4341210000000002e-06,1.3118115e-06,1.0419887
860.0,-1.9814773e-06,-3.258152e-06,1.2766747e-06,0.96375714
870.0,-1.8570159e-06,-3.1036522e-06,1.2466363e-06,0.89565178
880.0,-1.7590766e-06,-2.9559663000000003e-06,1.1968897e-06,0.83380514
890.0,-1.674725e-06,-2.8034511e-06,1.1287261e-06,0.77637856
900.0,-1.6104953e-06,-2.6704217000000002e-06,1.0599264e-06,0.7222047
