lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.0002682997,-0.00021393922,0.00048223892,3.7976306,2.43259,1.77435,5.72811,3.91317,1.19746,10.57696
410.0,0.00026143607000000003,-0.00021915998999999997,0.00048059606,3.8793121,2.48423,1.8127,5.85407,3.99779,1.22351,10.80063
420.0,0.00025415188,-0.00022093258000000003,0.00047508446,3.9223789,2.50462,1.83763,5.92023,4.04217,1.24296,10.89783
430.0,0.00025045759,-0.00022189599999999996,0.00047235359,3.9726806,2.51617,1.87848,5.98519,4.09402,1.28047,10.98394
440.0,0.00025760946,-0.00022723322999999997,0.00048484269,4.1163041,2.55695,1.99444,6.1635,4.24297,1.38646,11.26587
450.0,0.00026773828,-0.00023182227999999993,0.00049956056,4.2847377,2.59689,2.13712,6.36149,4.41768,1.52126,11.57939
460.0,0.00027153574,-0.00022633332999999999,0.00049786907,4.3278454,2.55,2.22589,6.3669,4.46164,1.61842,11.51674
470.0,0.00028327004,-0.00022798650999999992,0.0005112565499999999,4.5121967,2.57333,2.40141,6.56853,4.65277,1.7807,11.81252
480.0,0.00031909826,-0.00024475669,0.00056385495,4.9755941,2.66059,2.82257,7.09924,5.13501,2.11486,12.63796
490.0,0.00037800299,-0.00029255994000000005,0.0006705629300000001,6.0190848,3.04278,3.61794,8.4319,6.22416,2.67776,14.95349
500.0,0.000488023,-0.00041410325,0.00090212625,8.6048123,4.27287,5.35404,11.9234,8.9309,3.7419,21.54026
510.0,0.0006745795699999999,-0.0006778296300000003,0.0013524092000000002,14.814101,7.7666,9.08114,20.76938,15.4494,5.68101,38.80135
520.0,0.00093671372,-0.0011635240799999999,0.0021002378,28.652317,16.60655,16.44601,41.22923,30.00561,8.82522,81.20874
525.0,0.0010232707,-0.0014484654,0.0024717361,37.742832,23.19119,20.55129,55.39832,39.56862,10.13296,110.67184
527.0,0.0010441134,-0.0015640558,0.0026081692,41.635648,26.15216,22.15655,61.6016,43.66268,10.56404,123.48729
529.0,0.0010577949,-0.0016815204,0.0027393153,45.74744,29.34517,23.72464,68.1987,47.98636,10.96254,137.0854
530.0,0.0010615515,-0.0017403418000000003,0.0028018933000000003,47.870637,31.02159,24.50857,71.60045,50.21861,11.14482,144.13172
531.0,0.001063063,-0.0017988899,0.0028619529,50.029683,32.74499,25.26944,75.1352,52.48826,11.31498,151.30613
533.0,0.0010588653,-0.0019141357999999998,0.0029730011,54.42557,36.31386,26.7907,82.39212,57.10851,11.61092,165.95017
535.0,0.0010443942,-0.0020250294000000004,0.0030694236,58.86535,40.00402,28.2793,89.79203,61.77333,11.84504,181.56419
537.0,0.0010192394,-0.0021294223,0.0031486617,63.274116,43.76056,29.64957,97.1211,66.40392,12.00586,197.76471
539.0,0.00098339858,-0.00222545142,0.00320885,67.577307,47.52458,30.89527,104.54014,70.92163,12.09129,213.89261
540.0,0.0009615863,-0.002269826,0.0032314123,69.666178,49.38995,31.44511,108.09521,73.11384,12.10498,221.83993
541.0,0.00093729821,-0.00231159229,0.0032488905,71.702783,51.23551,31.92363,111.82614,75.25063,12.09886,229.67107
543.0,0.0008818302599999998,-0.0023869437400000004,0.0032687740000000003,75.593116,54.84227,32.80806,118.55918,79.33031,12.03002,244.86899
545.0,0.0008181747999999999,-0.0024511814,0.0032693562,79.203571,58.29937,33.53145,124.95075,83.11368,11.89041,259.27246
547.0,0.00074775015,-0.00250460755,0.0032523577,82.50898,61.57586,33.99657,131.02643,86.57436,11.68499,272.74516
549.0,0.00067382686,-0.00254920624,0.0032230331,85.601196,64.71489,34.32457,136.76369,89.80939,11.44505,285.52513
550.0,0.0006389122900000001,-0.00257050191,0.0032094142,87.255415,66.34931,34.58093,139.93616,91.54073,11.34974,292.23432
551.0,0.00060327332,-0.0025899751799999997,0.0031932485,88.874404,67.96412,34.8745,142.9574,93.23462,11.24731,298.83006
553.0,0.00053029752,-0.00262391998,0.0031542175,92.015406,71.13969,35.26107,148.61523,96.51934,11.02316,311.71961
555.0,0.00045579724,-0.0026520648600000005,0.0031078621000000003,95.045452,74.2537,35.59677,154.43783,99.68563,10.7769,324.27309
