lambda,qEXT,qSCA,qABS,eSQU
300.0,0.00038183756,-4.932999000000003e-05,0.00043116755,2.4440515
310.0,0.00036637532,-5.7710879999999995e-05,0.0004240862,2.4892748
320.0,0.00034773439,-6.553922999999999e-05,0.00041327362,2.5655222
330.0,0.00035116166,-7.256477999999998e-05,0.00042372644,2.6667165
340.0,0.00034094278,-7.660919e-05,0.00041755197,2.6891942
350.0,0.00032182298,-7.852500999999998e-05,0.00040034799,2.6580004
360.0,0.00031082929,-8.362144999999997e-05,0.00039445074,2.7292163
370.0,0.00030710729,-9.169365999999997e-05,0.00039880095,2.8777623
380.0,0.00030304282000000003,-9.940366999999995e-05,0.00040244649,3.0028509
390.0,0.00029199597,-0.00010356682000000001,0.00039556279,3.049687
400.0,0.00028102956,-0.00010604795000000001,0.00038707751,3.072782
410.0,0.00027387735,-0.00010830464999999999,0.000382182,3.1102557
420.0,0.00026603799,-0.00010899690000000002,0.00037503489,3.122131
430.0,0.000260607,-0.00010898369,0.00036959069,3.1348213
440.0,0.00026286631,-0.00010987261000000001,0.00037273892,3.1927536
450.0,0.00026721753,-0.00011036354,0.00037758107,3.2691165
460.0,0.00026645413,-0.00010728013000000004,0.00037373426,3.2807248
470.0,0.00027212123,-0.00010679563,0.00037891686,3.3793951
480.0,0.00029356391,-0.00011059341000000013,0.0004041573200000001,3.6087751
490.0,0.00033197593,-0.00012513550000000002,0.00045711143,4.161099299999999
500.0,0.0004054659,-0.0001622104,0.0005676763,5.5116894
510.0,0.0005263222799999999,-0.00023474252,0.0007610647999999999,8.5232084
520.0,0.00068101939,-0.00034398751000000005,0.0010250069,14.344789000000002
525.0,0.0007229894800000001,-0.0003940005199999999,0.00111699,17.508492
527.0,0.0007304227199999999,-0.00041106468000000004,0.0011414874,18.708496
529.0,0.00073323913,-0.00042645907000000006,0.0011596982,19.886742
530.0,0.0007327906200000001,-0.0004334041799999999,0.0011661948,20.460018
531.0,0.00073106558,-0.00043979032000000004,0.0011708559,21.018709
533.0,0.0007237283,-0.00045073240000000005,0.0011744607,22.080263
535.0,0.00071126568,-0.00045906661999999996,0.0011703323,23.049914
537.0,0.00069393402,-0.0004646731799999999,0.0011586072,23.909491
539.0,0.00067217697,-0.0004675642299999999,0.0011397412,24.645351
540.0,0.0006598252400000001,-0.00046802895999999996,0.0011278542,24.964569
541.0,0.00064660594,-0.00046787106,0.001114477,25.250376
543.0,0.00061794345,-0.00046583985,0.0010837833,25.722915
545.0,0.00058696006,-0.00046178664,0.0010487467,26.066745
547.0,0.00055442231,-0.00045608839000000007,0.0010105107,26.290574
549.0,0.00052169319,-0.0004492128,0.00097090599,26.433343
550.0,0.0005064841400000001,-0.00044553268999999996,0.00095201683,26.526795
551.0,0.00049124136,-0.00044161321,0.00093285457,26.603502
553.0,0.00046084402,-0.0004331545999999998,0.0008939986199999998,26.711111
555.0,0.00043083331,-0.0004240670200000001,0.0008549003300000001,26.764619
557.0,0.0004014783,-0.0004145639800000001,0.0008160422800000001,26.772807
559.0,0.00037298885,-0.00040482328000000003,0.00077781213,26.743579
560.0,0.00035912071,-0.00039991375999999995,0.00075903447,26.717425
561.0,0.0003455230600000001,-0.0003950056599999999,0.00074052872,26.68475
563.0,0.00031919574,-0.00038523624,0.00070443198,26.603191
565.0,0.00029408014,-0.00037562622000000004,0.00066970636,26.505353000000003
567.0,0.00027022022,-0.00036625779,0.00063647801,26.396713
569.0,0.00024763369,-0.00035719980000000005,0.00060483349,26.282424
570.0,0.00023681787,-0.0003528044200000001,0.0005896222900000001,26.224538
571.0,0.0002263178,-0.0003485046299999999,0.0005748224299999999,26.166823
573.0,0.00020625354,-0.00034021018999999997,0.00054646373,26.053791
575.0,0.00018740603,-0.00033234941999999996,0.0005197554499999999,25.946928
577.0,0.00016973168000000005,-0.0003249407999999999,0.00049467248,25.848997
579.0,0.00015317808000000002,-0.00031799955,0.00047117763,25.762514000000003
580.0,0.00014530291,-0.0003147060600000001,0.0004600089700000001,25.724181
581.0,0.0001376859,-0.00031153235,0.00044921825,25.689396
583.0,0.00012295463,-0.00030570299,0.00042865762,25.621988
585.0,0.00010891353000000003,-0.00030049068999999994,0.00040940422,25.564773
587.0,9.5800276e-05,-0.000295656664,0.00039145694,25.532213
589.0,8.354716599999999e-05,-0.000291171384,0.00037471855,25.523888
590.0,7.7720126e-05,-0.000289056654,0.00036677678,25.529235
591.0,7.2086006e-05,-0.000287015384,0.00035910139,25.540259
593.0,6.136130699999999e-05,-0.000283150943,0.00034451225,25.579776000000006
595.0,5.1323082e-05,-0.00027954273800000006,0.00033086582000000004,25.641334
597.0,4.1923296e-05,-0.00027616414400000004,0.00031808744,25.724178
599.0,3.3123388e-05,-0.0002729803320000001,0.0003061037200000001,25.826474
600.0,2.8935987e-05,-0.000271454423,0.00030039041000000003,25.884521
601.0,2.4881873e-05,-0.000269974687,0.00029485656,25.947677
603.0,1.7161373e-05,-0.00026713143700000003,0.00028429281,26.08671
605.0,9.9196667e-06,-0.0002644544633,0.00027437413,26.244031
607.0,3.1086081000000008e-06,-0.0002619628819,0.00026507149,26.420913
609.0,-3.3192171e-06,-0.0002596787671,0.00025635955000000003,26.618717
610.0,-6.4073154e-06,-0.0002586284554,0.00025222114,26.726617
611.0,-9.4179565e-06,-0.0002576410165,0.00024822306000000003,26.840436
613.0,-1.524024e-05,-0.00025588642,0.00024064618,27.08904
615.0,-2.0834063e-05,-0.000254447743,0.00023361368,27.367243
617.0,-2.6202469e-05,-0.000253247879,0.00022704541,27.677742
619.0,-3.1018343e-05,-0.000251408243,0.0002203899,28.021734
620.0,-3.3370749e-05,-0.00025060224900000003,0.0002172315,28.205648
621.0,-3.5691023e-05,-0.000249874033,0.00021418301,28.397949
623.0,-4.0245065e-05,-0.000248652045,0.00020840698,28.808112
625.0,-4.4706598e-05,-0.000247750268,0.00020304367,29.25353
627.0,-4.9097184e-05,-0.000247172054,0.00019807487,29.735674
629.0,-5.3436442e-05,-0.000246920252,0.00019348381,30.256305
630.0,-5.559292e-05,-0.00024691786,0.00019132494,30.531617
