lambda,qEXT,qSCA,qABS,eSQU
300.0,0.0034876258,0.0005130701,0.0029745557,2.468713
310.0,0.0033769290000000003,0.00046202540000000016,0.0029149036,2.5031419
320.0,0.0032577986,0.00041457920000000006,0.0028432194,2.5272963
330.0,0.0032267582,0.0003797044000000004,0.0028470538,2.5641054
340.0,0.0031312508,0.0003399112000000001,0.0027913396,2.5679117
350.0,0.0029961271000000004,0.0003003664000000004,0.0026957607,2.5517661
360.0,0.0029188677,0.0002746615,0.0026442062,2.5825964
370.0,0.002889958,0.0002589437,0.0026310143,2.6574843
380.0,0.0028582964000000003,0.0002446108000000004,0.0026136856,2.735154
390.0,0.0027835931,0.00022530860000000022,0.0025582845,2.7680312
400.0,0.0027044258,0.0002060771000000003,0.0024983487,2.7835375
410.0,0.0026423855,0.0001893890999999999,0.0024529964,2.8016096
420.0,0.002573973,0.00017290219999999959,0.0024010708,2.8037937000000004
430.0,0.002515209,0.00015795130000000003,0.0023572577,2.8021377
440.0,0.0024933923,0.00014646090000000004,0.0023469314,2.8208287
450.0,0.0024811162,0.00013596099999999998,0.0023451552,2.8372677000000004
460.0,0.0024372878,0.00012307570000000007,0.0023142121,2.8053165
470.0,0.00243095,0.00011401149999999997,0.0023169385,2.8102471
480.0,0.0025047615,0.00011068019999999979,0.0023940813000000003,2.8941689
490.0,0.0026851854,0.00011699209999999982,0.0025681933,3.1551419
500.0,0.0030773415,0.00014340270000000018,0.0029339388,3.8446308
510.0,0.003752228,0.00020478999999999983,0.003547438,5.3838173
520.0,0.0046257939,0.0003126921000000003,0.0043131018,8.2254998
525.0,0.0048631767,0.00036026029999999994,0.0045029164,9.6523896
527.0,0.0049032151,0.0003755579000000002,0.0045276572,10.160214
529.0,0.0049154378,0.0003890921999999998,0.0045263456,10.637852
530.0,0.004910401599999999,0.0003950638999999992,0.0045153377,10.861502
531.0,0.004897689,0.00040044020000000024,0.0044972488,11.073028
533.0,0.004848931,0.0004092376999999996,0.0044396933,11.454164
535.0,0.0047694448,0.00041521959999999986,0.0043542252,11.771581
537.0,0.0046608153,0.00041822940000000013,0.0042425859,12.01803
539.0,0.004525825,0.0004182379,0.0041075871,12.189205
540.0,0.0044496003,0.00041714439999999964,0.004032455900000001,12.24615
541.0,0.00436827,0.00041534569999999993,0.0039529243,12.28412
543.0,0.0041926438,0.0004097647999999998,0.003782879,12.304939
545.0,0.0040037503,0.0004017929000000001,0.0036019574,12.256465
547.0,0.0038063756,0.00039178849999999986,0.0034145871,12.145691
549.0,0.0036083389,0.0003806231999999997,0.0032277157,11.994741
550.0,0.0035154743,0.0003755525999999997,0.0031399217,11.930822
551.0,0.0034225413,0.00037025079999999976,0.0030522905,11.858359
553.0,0.00323761,0.0003590678000000001,0.0028785422,11.690716
555.0,0.0030556371000000004,0.00034729430000000026,0.0027083428,11.497155
557.0,0.0028783202000000003,0.0003351297000000002,0.0025431905,11.282808
559.0,0.002706983,0.0003227484,0.0023842346,11.052366
560.0,0.0026238792,0.0003165243,0.0023073549,10.932458
561.0,0.0025426188,0.00031029989999999986,0.0022323189,10.810055
563.0,0.0023859289,0.0002979100000000002,0.0020880189,10.559605
565.0,0.0022373596,0.00028568020000000025,0.0019516794,10.304226
567.0,0.0020971554,0.0002736937,0.0018234617,10.046678
569.0,0.0019653905,0.0002620146000000003,0.0017033759,9.789258
570.0,0.0019026597,0.00025630589999999995,0.0016463538,9.6612285
571.0,0.0018420077,0.00025069139999999985,0.0015913163,9.5339263
573.0,0.0017268421,0.000239761,0.0014870811,9.2822709
575.0,0.0016196478,0.00022924749999999987,0.0013904003,9.0355801
577.0,0.0015201164,0.00021916680000000008,0.0013009496,8.794870699999999
579.0,0.0014278948,0.00020952609999999984,0.0012183687,8.560941999999999
580.0,0.0013844057,0.00020487109999999995,0.0011795346,8.4467098
581.0,0.001342598,0.0002003262999999999,0.0011422717,8.3343805
583.0,0.001263152,0.00019139200000000008,0.00107176,8.1093167
585.0,0.0011891153,0.0001827364000000001,0.0010063789,7.886609700000001
587.0,0.0011208704,0.00017457022000000007,0.00094630018,7.6744702999999985
589.0,0.0010579412,0.00016686700999999997,0.00089107419,7.472547500000001
590.0,0.0010283281,0.00016318056,0.00086514754,7.3752811
591.0,0.00099987453,0.00015959919000000007,0.00084027534,7.2804061
