lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.0034550723,0.00030279500000000023,0.0031522773,2.4286009,1.60522,1.07386,3.69815,2.46716,0.49342,6.4661
410.0,0.0033819324,0.0002791524000000001,0.00310278,2.4477531,1.61685,1.0818,3.72963,2.48669,0.50088,6.50183
420.0,0.0032994467,0.0002556733999999998,0.0030437733,2.4541577,1.61733,1.08647,3.73843,2.49316,0.50815,6.49989
430.0,0.0032242414,0.00023397499999999998,0.0029902664,2.4549361,1.60735,1.09493,3.735,2.49389,0.52185,6.4754
440.0,0.0031851179,0.00021644959999999984,0.0029686683000000004,2.4653386,1.59019,1.12008,3.73362,2.5046,0.55431,6.45099
450.0,0.0031533496000000004,0.0002001322000000005,0.0029532174,2.4709315,1.56024,1.15207,3.71772,2.51042,0.59742,6.39174
460.0,0.0030833739,0.0001807378999999997,0.002902636,2.4401055,1.50038,1.17288,3.64084,2.47882,0.63519,6.21752
470.0,0.0030540121,0.00016644200000000015,0.0028875701,2.4331537,1.44635,1.21333,3.59222,2.47182,0.6892,6.08761
480.0,0.0031054514,0.00015935320000000017,0.0029460982,2.475174,1.39342,1.30377,3.59291,2.5153,0.78836,6.02421
490.0,0.0032764361,0.00016502309999999985,0.003111413,2.6406777,1.41253,1.45702,3.77158,2.68588,0.92976,6.29103
500.0,0.003680944,0.00019611279999999986,0.0034848312,3.0979419,1.61852,1.7445,4.38362,3.15687,1.15274,7.42608
510.0,0.0044033267,0.0002696959999999998,0.0041336307,4.1200118,2.24193,2.24956,5.87744,4.20948,1.4848,10.33635
520.0,0.0053851395,0.0003978480000000001,0.0049872915,5.9906557,3.57893,3.00593,8.77768,6.13462,1.8688,16.1737
530.0,0.0058424757,0.0004960894,0.0053463863,7.7593826,5.17828,3.40518,11.81879,7.94926,1.81824,22.18347
540.0,0.005502276,0.0005173181000000006,0.0049849579,8.6584101,6.3332,3.28255,13.68014,8.86612,1.34115,25.98547
550.0,0.0045510818,0.0004526762999999996,0.0040984055,8.2849567,6.50909,2.7122,13.46771,8.47701,0.66769,26.03849
560.0,0.0035713203000000008,0.00036188310000000124,0.0032094371999999995,7.3274795,6.0648,2.10196,12.16153,7.49166,0.23274,24.09559
570.0,0.0027731325,0.00027054900000000014,0.0025025835,6.1361396,5.27381,1.57838,10.34125,6.26855,0.16752,21.35711
580.0,0.0022433519,0.00019451980000000004,0.0020488321,5.0048232,4.39415,1.20283,8.50747,5.10843,0.07319,19.26511
590.0,0.0019782716,0.00013621370000000007,0.0018420579,4.0412497,3.53826,0.98604,6.84214,4.12156,0.05217,18.26518
600.0,0.0019634578,9.688149999999979e-05,0.0018665763,3.349485,2.8067,0.96695,5.53975,3.41563,0.04673,18.27037
610.0,0.0022350251,7.877019999999978e-05,0.0021562549,3.0722988,2.30375,1.21481,4.79244,3.13957,0.04617,23.19783
620.0,0.0028992542,9.252119999999999e-05,0.002806733,3.6079812,2.31096,1.86527,5.21542,3.70395,0.04813,33.63514
621.0,0.0029909981,9.63025000000001e-05,0.0028946956,3.7319228,2.35711,1.96377,5.36238,3.83304,0.05305,35.15265
623.0,0.0031932425,0.00010572589999999996,0.0030875166,4.0367048,2.48599,2.1908,5.7469,4.14987,0.08566,38.55962
625.0,0.0034219000000000003,0.00011793620000000041,0.0033039638,4.4285131,2.67062,2.46132,6.26505,4.55631,0.0753,42.51981
627.0,0.0036782451,0.00013332380000000013,0.0035449213,4.9220195,2.92032,2.7805,6.94796,5.06735,0.03704,47.09588
629.0,0.0039627219,0.00015228139999999947,0.0038104405,5.5327563,3.2453,3.15996,7.8005,5.69888,0.03705,52.34448
630.0,0.0041153077,0.00016321940000000017,0.0039520883,5.8869727,3.43944,3.37401,8.29509,6.06481,0.03654,56.52192
631.0,0.0042744454,0.0001751840999999997,0.0040992613,6.2761803,3.65649,3.6022,8.84852,6.46666,0.02433,61.02736
633.0,0.0046104964000000005,0.00020230890000000074,0.0044081875,7.1657879,4.16457,4.11032,10.13008,7.3845,0.03061,70.7566
635.0,0.004965191,0.0002337792,0.0047314118,8.210539,4.77857,4.69068,11.65968,8.46156,0.08696,81.2899
637.0,0.0053292805,0.0002694332000000004,0.0050598473,9.4111718,5.50358,5.34111,13.42539,9.69864,0.08538,92.35164
639.0,0.005689522,0.0003087426999999997,0.0053807793,10.756111,6.33792,6.04211,15.42207,11.08387,0.13924,103.51421
640.0,0.0058629919,0.0003294708000000004,0.0055335211,11.474811,6.79303,6.40639,16.49698,11.82397,0.15957,108.9837
641.0,0.0060288483,0.00035069330000000055,0.005678155,12.217926,7.27037,6.77689,17.6103,12.58916,0.20018,114.29459
643.0,0.0063274865,0.00039378160000000037,0.0059337049,13.751424,8.27796,7.51719,19.93639,14.16812,0.16282,124.20716
645.0,0.006565169599999999,0.00043606969999999967,0.0061290999,15.295046,9.32509,8.21832,22.29711,15.75753,0.18659,132.63873
647.0,0.006724320400000001,0.00047542780000000076,0.0062488926,16.777207,10.36684,8.85158,24.61961,17.28372,0.22943,139.10557
649.0,0.0067931822,0.0005098310000000005,0.0062833512,18.126151,11.35523,9.39692,26.76953,18.6727,0.16655,143.2678
650.0,0.0067922266,0.0005246558,0.0062675708,18.730905,11.81551,9.61863,27.73842,19.29533,0.16642,144.40287
651.0,0.006767926800000001,0.000537687900000001,0.0062302389,19.280882,12.247,9.80148,28.63247,19.86147,0.19103,144.9178
653.0,0.0066528640000000005,0.0005580316000000007,0.0060948324,20.199544,13.00973,10.06732,30.20654,20.80677,0.31144,144.11908
655.0,0.0064588242,0.0005705666,0.0058882576,20.862132,13.62346,10.201,31.34642,21.4878,0.38191,141.064
657.0,0.006200841,0.0005756028,0.0056252382,21.269198,14.08015,10.23543,32.13553,21.90502,0.27575,136.11476
659.0,0.005895713100000001,0.0005738651000000003,0.0053218480000000006,21.437679,14.3819,10.15609,32.50567,22.07574,0.19491,129.71557
660.0,0.0057274922,0.0005700708999999997,0.0051574213,21.410126,14.46004,10.05045,32.54696,22.04511,0.15372,125.92063
661.0,0.005551354499999999,0.0005643771999999997,0.0049869773,21.306928,14.48818,9.91122,32.4874,21.93588,0.11257,121.76179
670.0,0.004000458,0.00048297550000000024,0.0035174825,19.164524,13.74149,8.19725,29.85237,19.69579,0.15655,91.95197
680.0,0.0027129662,0.00038530349999999977,0.0023276627,16.184214,12.17893,6.28205,25.73133,16.5992,0.12564,68.41912
690.0,0.0018704202,0.0003075434000000001,0.0015628768,13.664622,10.74694,4.78499,22.11002,13.99749,0.07895,57.49306
700.0,0.0013117307,0.00024667579999999986,0.0010650549,11.614722,9.4896,3.70805,19.11256,11.89535,0.11474,60.56866
710.0,0.00095797003,0.00020092888999999998,0.0007570411400000001,10.061262,8.45859,2.94392,16.74906,10.30225,0.01483,59.94504
720.0,0.0007208479400000001,0.00016628905000000004,0.00055455889,8.8744732,7.62768,2.40437,14.87912,9.08337,0.05225,56.63054
730.0,0.0005653996400000001,0.00014057148000000012,0.00042482816,7.9928177,6.99257,2.02848,13.51188,8.17885,0.047,49.71766
740.0,0.00046313531,0.00012130817000000001,0.00034182714,7.3432917,6.50956,1.77317,12.51335,7.512,0.02476,41.53142
750.0,0.00038989545,0.00010608866000000002,0.00028380679,6.8343496,6.11733,1.5786,11.69042,6.98831,0.02153,34.76776
760.0,0.00033554695,9.380382e-05,0.00024174313,6.4257274,5.79638,1.43676,11.01914,6.56786,0.00992,30.43075
770.0,0.0002926392,8.357296999999999e-05,0.00020906623,6.0829116,5.5234,1.32012,10.45036,6.21497,0.02133,27.13264
780.0,0.00025822981,7.499872000000003e-05,0.00018323109,5.7947431,5.29021,1.21783,9.97531,5.91828,0.01923,25.40628
790.0,0.00023000676,6.771775999999999e-05,0.000162289,5.5486191,5.08943,1.13866,9.56525,5.6654,0.01201,24.60521
800.0,0.00020660391,6.147362e-05,0.00014513029,5.337109,4.91445,1.07403,9.20896,5.44796,0.00647,23.47097
810.0,0.00018694733,5.6066119999999996e-05,0.00013088121,5.1534065,4.76083,1.01925,8.9136,5.25924,0.00467,22.33677
820.0,0.00017021089,5.1345700000000026e-05,0.00011886518999999998,4.9913993,4.624,0.97503,8.63947,5.09334,0.00949,21.23535
830.0,0.00015443438,4.718299000000001e-05,0.00010725139,4.8460948,4.4991,0.93945,8.39172,4.94463,0.00507,20.03097
840.0,0.00014083029,4.3502581e-05,9.7327709e-05,4.7163018,4.38693,0.90876,8.17819,4.81166,0.00607,18.74464
850.0,0.00012916695,4.023633000000001e-05,8.893061999999999e-05,4.5998055,4.28584,0.88307,7.98993,4.69224,0.00445,17.92208
860.0,0.00011913396,3.731768900000001e-05,8.181627099999999e-05,4.4947673,4.19413,0.85732,7.82474,4.58457,0.00784,17.58846
870.0,0.00011044143,3.4697002e-05,7.5744428e-05,4.3996498,4.11144,0.83191,7.66691,4.48723,0.00219,17.23787
880.0,0.00010289532,3.2335788000000004e-05,7.0559532e-05,4.3132035,4.03634,0.80721,7.52663,4.39891,0.00264,16.83419
890.0,9.6373762e-05,3.0199362000000004e-05,6.61744e-05,4.2345507,3.96696,0.78495,7.38786,4.31856,0.00273,16.50518
900.0,9.1526979e-05,2.8284649999999994e-05,6.3242329e-05,4.1647834,3.90432,0.76628,7.26493,4.24693,0.00111,16.19318
