lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.00026805682,-0.0002174838500000001,0.0004855406700000001,3.8483737,2.34105,1.82092,5.81163,3.92161,1.22571,9.22134
410.0,0.00026084535,-0.00022186150999999987,0.0004827068599999999,3.9219241,2.38521,1.85529,5.92269,3.99673,1.25049,9.3871
420.0,0.0002532367,-0.00022279541999999997,0.00047603212,3.9563921,2.39981,1.87549,5.97432,4.03193,1.2682,9.44559
430.0,0.00024925096,-0.00022288737,0.00047213833,3.9980066,2.40532,1.9136,6.02336,4.07474,1.30469,9.49276
440.0,0.0002560531,-0.00022713137000000003,0.00048318447,4.1317582,2.43529,2.02345,6.1904,4.21268,1.41226,9.69535
450.0,0.0002658914,-0.00023069527000000006,0.0004965866700000001,4.2918021,2.46452,2.16136,6.38137,4.37752,1.54537,9.92551
460.0,0.00026953732000000005,-0.00022455394999999995,0.00049409127,4.3296075,2.41545,2.2435,6.38954,4.41678,1.63947,9.85111
470.0,0.00028115429,-0.00022548440000000005,0.0005066386900000001,4.5099145,2.43065,2.41287,6.58344,4.60203,1.81055,10.07315
480.0,0.00031627306000000003,-0.00024063419999999995,0.00055690726,4.9616495,2.49329,2.82335,7.09308,5.06736,2.20888,10.71804
490.0,0.00037403537,-0.00028565096000000004,0.00065968633,5.98601,2.81375,3.58146,8.40526,6.11824,2.91648,12.57196
500.0,0.00048168993,-0.00040075318,0.00088244311,8.5197919,3.86058,5.24433,11.8439,8.70596,4.07901,17.68412
510.0,0.0006631004400000001,-0.00064851306,0.0013116135,14.545646,6.80009,8.82124,20.27626,14.82273,6.27149,31.14966
520.0,0.00091446926,-0.00109552844,0.0020099977,27.719122,14.07871,15.77692,39.24437,28.10984,9.97734,63.39572
525.0,0.00099511035,-0.0013515716500000002,0.002346682,36.190623,19.48505,19.51155,52.09921,36.64038,11.61131,85.62439
527.0,0.0010138505,-0.0014538537000000004,0.0024677042000000003,39.775283,21.91336,20.94123,57.67492,40.25044,12.18116,95.27386
529.0,0.0010256515,-0.0015567480000000002,0.0025823995,43.534989,24.52676,22.40233,63.53041,44.03648,12.72289,105.49863
530.0,0.0010286178,-0.0016078802000000002,0.002636498,45.466338,25.89685,23.11638,66.69721,45.98198,12.97954,110.78852
531.0,0.0010294549,-0.0016585102,0.0026879651,47.423846,27.30484,23.80664,69.74232,47.95336,13.2247,116.17936
533.0,0.0010243564,-0.0017572859,0.0027816423,51.386612,30.21744,25.16464,76.12812,51.94435,13.67182,127.17083
535.0,0.0010097816,-0.0018512245000000002,0.0028610061,55.36188,33.22725,26.39559,82.57311,55.94755,14.0543,138.29486
537.0,0.00098544021,-0.0019385669899999998,0.0029240072,59.281474,36.292,27.55971,89.04615,59.89435,14.35916,149.97849
