lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.0042789549,0.00042205339999999963,0.0038569015,2.1703236,1.2653,1.05785,3.17727,2.16417,0.52749,5.13171
410.0,0.0041971816,0.0003906242999999997,0.0038065573,2.191459,1.27548,1.06906,3.20706,2.18521,0.53639,5.17882
420.0,0.0041024963,0.00035916300000000045,0.0037433333,2.2021083,1.2777,1.07718,3.22092,2.19584,0.54476,5.1958
430.0,0.0040105751,0.00032939890000000015,0.0036811762,2.2059248,1.26962,1.08756,3.22109,2.19971,0.55897,5.18192
440.0,0.0039491338,0.00030396099999999973,0.0036451728,2.2117546,1.24889,1.11115,3.21382,2.20565,0.59071,5.14273
450.0,0.003890885,0.00027982910000000014,0.0036110559,2.2111936,1.21561,1.13942,3.18663,2.20524,0.63208,5.06822
460.0,0.003788482,0.0002520628000000002,0.0035364192,2.1828438,1.16318,1.15813,3.11736,2.17724,0.66883,4.91825
470.0,0.0037271418,0.00023065059999999998,0.0034964912,2.1694963,1.10904,1.19275,3.06261,2.16409,0.71956,4.78221
480.0,0.0037375341,0.000217241999999999,0.003520292100000001,2.1838543,1.04201,1.2647,3.02296,2.17792,0.81298,4.65039
490.0,0.0038737114,0.0002195630999999999,0.0036541483,2.2848803,1.014,1.38495,3.09889,2.27632,0.93821,4.70643
500.0,0.0042480055,0.0002512104999999997,0.003996795,2.5831634,1.08815,1.60282,3.44908,2.56586,1.13368,5.21855
510.0,0.004945594,0.0003285833,0.0046170107,3.2448014,1.39804,1.96211,4.33218,3.20525,1.40355,6.69443
520.0,0.005926769399999999,0.0004588318999999997,0.0054679375,4.409601,2.11353,2.44382,6.02227,4.32682,1.66684,9.77747
525.0,0.0062985163,0.0005149881000000005,0.0057835282,4.9937771,2.57814,2.59599,6.95976,4.89248,1.6666,11.49559
527.0,0.006402014,0.0005323530000000002,0.005869661,5.1996875,2.76274,2.6307,7.30524,5.0928,1.6422,12.13352
529.0,0.006480575400000001,0.0005469879000000004,0.0059335875,5.3898164,2.94451,2.65385,7.63007,5.27828,1.60729,12.74046
530.0,0.0065093116000000005,0.0005530874,0.0059562242000000005,5.4771235,3.03296,2.66004,7.78539,5.3637,1.58582,13.02765
531.0,0.0065304,0.0005582737999999992,0.0059721262,5.5582495,3.11892,2.66275,7.93378,5.44328,1.5618,13.30062
533.0,0.0065483662,0.0005656522999999995,0.0059827139000000005,5.6992096,3.2809,2.65676,8.20142,5.58227,1.50673,13.7971
535.0,0.0065326178,0.0005687048,0.005963913,5.8076118,3.42567,2.63448,8.42713,5.69042,1.44297,14.21611
537.0,0.006482675500000001,0.0005671676000000006,0.0059155079,5.8793518,3.54853,2.59797,8.59851,5.7638,1.37184,14.63955
539.0,0.0063997273,0.0005609955999999992,0.0058387317000000005,5.9120078,3.6458,2.5462,8.71307,5.80004,1.29535,14.97128
540.0,0.0063466816,0.0005562134999999996,0.0057904681000000005,5.9133539,3.68389,2.51578,8.74984,5.80394,1.25571,15.09861
541.0,0.0062865515,0.0005503520000000005,0.0057361995,5.9047637,3.71465,2.48106,8.7697,5.79839,1.2155,15.20033
543.0,0.006147408,0.0005356177999999998,0.0056117902,5.858773,3.75366,2.40516,8.76501,5.75994,1.13427,15.32442
545.0,0.0059876724,0.0005173508999999996,0.0054703215,5.7768869,3.76272,2.32598,8.69834,5.6874,1.05398,15.34612
547.0,0.0058134908,0.000496243700000001,0.005317247099999999,5.6635524,3.74317,2.24023,8.58328,5.58506,0.976,15.2721
549.0,0.0056339313,0.00047354549999999943,0.0051603858,5.5288762,3.7006,2.15658,8.42113,5.46243,0.90297,15.12494
550.0,0.0055478504,0.00046259299999999986,0.0050852574,5.4628918,3.6772,2.11986,8.34773,5.40215,0.8649,15.04761
551.0,0.0054610358,0.00045134389999999976,0.0050096919,5.3924368,3.64884,2.08048,8.25613,5.33765,0.82647,14.95951
553.0,0.0052872111,0.0004282099999999992,0.0048590011,5.2401537,3.57844,2.00702,8.05882,5.19803,0.75401,14.75758
555.0,0.005116191500000001,0.00040462860000000083,0.0047115629,5.0761248,3.49176,1.93733,7.83193,5.04755,0.68816,14.48929
557.0,0.0049513336,0.0003810443999999998,0.0045702892,4.9044595,3.39142,1.87324,7.59674,4.89031,0.62993,14.21855
559.0,0.0047955404,0.0003578619,0.0044376785,4.7290934,3.28012,1.81765,7.34694,4.73019,0.57359,14.05393
560.0,0.0047218237,0.00034653319999999963,0.0043752905,4.6412003,3.22121,1.79408,7.21429,4.65025,0.54328,13.96676
561.0,0.0046512577000000005,0.00033543550000000085,0.0043158222,4.5537338,3.16051,1.77258,7.07989,4.57095,0.5155,13.87936
563.0,0.0045204823,0.0003140639999999993,0.0042064183000000005,4.3818352,3.03517,1.7356,6.81187,4.41606,0.46302,13.70009
565.0,0.0044048469,0.00029400900000000046,0.0041108379,4.216533,2.90653,1.71228,6.55178,4.26873,0.42356,13.52476
567.0,0.004305670300000001,0.0002754880000000008,0.0040301823,4.0607483,2.77693,1.70235,6.2987,4.13197,0.39898,13.35946
569.0,0.0042239976,0.00025868739999999977,0.003965310200000001,3.9171895,2.64857,1.705,6.06126,4.00858,0.38346,13.212
570.0,0.0041900086,0.0002509849,0.0039390237,3.8507818,2.58547,1.71205,5.94951,3.95273,0.37505,13.14784
571.0,0.004160716599999999,0.00024377149999999913,0.0039169451,3.7884364,2.52358,1.71815,5.8432,3.90127,0.37095,13.09148
573.0,0.0041166035,0.00023088809999999987,0.0038857154,3.6770485,2.40412,1.74514,5.64586,3.81272,0.31544,13.04235
