lambda,qEXT,qSCA,qABS,eSQU
400,0.00027028006,-8.098260000000005e-05,0.00035126266000000005,2.7734507
410,0.00026460897,-8.059995999999995e-05,0.00034520893,2.794088
420,0.00025824204,-7.934507000000003e-05,0.00033758711,2.7950885
430,0.000253866,-7.776487000000002e-05,0.00033163087,2.7975365
440,0.00025617396,-7.682669000000001e-05,0.00033300065,2.8366214
450,0.00025986848,-7.564300000000002e-05,0.00033551148,2.8885177000000004
460,0.00025845846,-7.23001e-05,0.00033075856,2.8871684
470,0.00026241321,-7.061452000000002e-05,0.00033302773,2.9529965
480,0.00028035029,-7.150158000000014e-05,0.00035185187000000013,3.1223339
490,0.00031316289,-7.874611999999999e-05,0.00039190901,3.5418837999999995
500,0.0003767387200000001,-9.89504699999999e-05,0.00047568919,4.5749269
510,0.00048198923,-0.00013917832000000002,0.00062116755,6.865765
520,0.00061722707,-0.00019991891000000004,0.00081714598,11.241766
530,0.0006602207000000001,-0.00024620253999999985,0.00090642324,15.608297
540,0.00058947979,-0.0002567155799999999,0.0008461953699999999,18.388086
550,0.00044896603,-0.00023202929,0.00068099532,18.655503
560,0.00031930776,-0.00019589977,0.00051520753,17.854507
570,0.00021790176,-0.00016160496,0.00037950672,16.619609
580,0.00014631895000000002,-0.00013516600999999997,0.00028148496,15.458221
590,9.6165632e-05,-0.00011719073800000007,0.00021335637000000006,14.482499
600,6.1519411e-05,-0.00010520352899999999,0.00016672294,13.810641
610,3.734374e-05,-9.763849999999997e-05,0.00013498223999999998,13.418525
620,2.0122026e-05,-9.3154634e-05,0.00011327666,13.279189
630,7.5098964e-06,-9.04717016e-05,9.7981598e-05,13.364488
640,-2.4466322000000003e-06,-9.04784242e-05,8.8031792e-05,13.637595
650,-1.0827322e-05,-9.273165099999999e-05,8.1904329e-05,14.11033
660,-1.8432756e-05,-9.6443283e-05,7.8010527e-05,14.801613
670,-2.4879211e-05,-9.989895799999999e-05,7.501974699999999e-05,15.414953
680,-2.8272764000000006e-05,-9.809876700000002e-05,6.982600300000001e-05,15.602557
690,-3.0267579e-05,-9.373866300000001e-05,6.3471084e-05,15.77593
700,-3.3054066e-05,-9.155263e-05,5.8498564e-05,16.351716
710,-3.7475384e-05,-9.3105235e-05,5.5629851e-05,17.302587
720,-4.3680593e-05,-9.805079499999999e-05,5.4370202e-05,18.805977
730,-5.1482227e-05,-0.000106049753,5.4567526e-05,20.738467
740,-6.0405787e-05,-0.00011625595,5.5850163e-05,22.817881
750,-7.1093984e-05,-0.000129230501,5.8136517e-05,25.263867
760,-8.3743536e-05,-0.000145058838,6.1315302e-05,28.129271000000006
770,-9.9499061e-05,-0.000165122656,6.5623595e-05,31.850094
780,-0.00011952758,-0.000190865506,7.1337926e-05,36.632165
790,-0.00014595334,-0.000225246903,7.9293563e-05,42.870839
800,-0.00018122801,-0.000271302837,9.0074827e-05,51.132494
810,-0.00022956341,-0.00033438897,0.00010482556,62.33521999999999
820,-0.00029763157,-0.00042296028,0.00012532871,77.940721
830,-0.00039603018,-0.00055025089,0.00015422071,101.2935
840,-0.00054696671,-0.0007448263599999999,0.00019785965,136.86797
850,-0.00078748193,-0.00105363683,0.00026615490000000004,192.61806
860,-0.0011737379,-0.0015467585100000002,0.00037302061,280.46856
861,-0.0012226735,-0.00160894623,0.00038627273,291.4769
863,-0.0013265486,-0.00174070968,0.00041416108,314.7591
865,-0.0014382185,-0.0018819747,0.0004437562,339.65828
867,-0.0015570103,-0.00203178898,0.00047477868,365.98987
869,-0.0016816129000000002,-0.0021883923,0.0005067794,393.42261
870,-0.0017454616,-0.00226840952,0.00052294792,407.39728
871,-0.0018098875,-0.00234897708,0.0005390895799999999,421.43418
873,-0.0019387182,-0.00250951176,0.00057079356,449.28256
875,-0.0020639348,-0.00266463569,0.00060070089,475.9969
877,-0.0021804278,-0.0028078439699999996,0.00062741617,500.41227
879,-0.0022824464,-0.00293186501,0.00064941861,521.2419
880,-0.0023261896,-0.00298437208,0.0006581824799999999,529.90883
881,-0.0023641617000000003,-0.0030293905200000004,0.00066522882,537.21144
883,-0.0024203977,-0.00309400661,0.0006736089100000001,547.2235099999998
885,-0.0024473914000000003,-0.0031211530300000005,0.00067376163,550.52279
887,-0.0024434253,-0.00310889947,0.00066547417,546.8306200000002
889,-0.0024091024,-0.00305827168,0.00064916928,536.39165
890,-0.002381359,-0.00301965926,0.00063830026,528.8548400000002
891,-0.002347222,-0.00297305087,0.00062582887,519.93584
893,-0.0022620642000000003,-0.0028589463000000003,0.0005968821,497.92799
895,-0.0021612192000000003,-0.0027256705200000004,0.00056445132,472.22109000000006
897,-0.0020505106,-0.00258056737,0.0005300567700000001,444.75562
899,-0.0019343341,-0.0024292241100000002,0.00049489001,416.51814
900,-0.0018753932,-0.0023527222,0.000477329,402.37255
901,-0.0018164209,-0.00227634704,0.00045992614,388.32304
903,-0.0016997436,-0.00212565397,0.00042591037,360.80081
905,-0.0015865008,-0.00197988308,0.00039338228,334.39914
907,-0.0014782317999999998,-0.0018409173199999999,0.0003626855200000001,309.41624
909,-0.0013758798,-0.00170988867,0.00033400887,286.0146200000001
911,-0.0012799915,-0.00158742308,0.00030743158,264.27485
913,-0.0011907374,-0.00147368889,0.00028295149,244.19643
915,-0.0011080823,-0.0013685762599999999,0.00026049396,225.73623
917,-0.0010318094,-0.00127177889,0.00023996949,208.81732
919,-0.00096160006,-0.00118284692,0.00022124686,193.34341
921,-0.0008970657199999998,-0.0011012634699999998,0.00020419775,179.2097
