lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.00026881035,-0.00018025815000000003,0.0004490685,3.5495435,2.15736,1.69522,5.36842,3.62614,1.07763,8.53525
410.0,0.00026208242,-0.00018163568999999999,0.00044371811,3.5953335,2.18501,1.71711,5.43977,3.67308,1.09313,8.63786
420.0,0.00025484429,-0.00018050807,0.00043535236,3.6084765,2.18757,1.72838,5.46029,3.68664,1.10373,8.6497
430.0,0.00025072819,-0.00017867821000000001,0.0004294064,3.6262681,2.18075,1.75177,5.47301,3.70528,1.13035,8.64715
440.0,0.00025606954,-0.00017942909,0.00043549863,3.7137495,2.18808,1.83596,5.57321,3.79622,1.21414,8.75441
450.0,0.00026393205,-0.00017965583000000002,0.00044358788,3.8230712,2.19452,1.94442,5.68982,3.90952,1.31994,8.88459
460.0,0.00026593316,-0.0001732873,0.00043922046,3.837875,2.14048,2.00924,5.66721,3.92553,1.39431,8.77812
470.0,0.00027512025000000004,-0.00017189496999999994,0.00044701522,3.967709,2.13765,2.14479,5.79878,4.05951,1.52744,8.91163
480.0,0.00030408558,-0.00017934652999999998,0.00048343211,4.2943269,2.15638,2.46772,6.14984,4.39715,1.83402,9.31845
490.0,0.00035267187000000003,-0.00020647390999999993,0.00055914578,5.0587966,2.37347,3.04877,7.104,5.18186,2.33546,10.65778
500.0,0.00044322722,-0.00027702298,0.0007202502,6.936143,3.12794,4.28518,9.62821,7.0957,3.30043,14.41065
510.0,0.00059259044,-0.00042266076000000005,0.0010152512,11.242129,5.20591,6.801,15.67341,11.44635,4.68071,23.6554
520.0,0.0007887709700000001,-0.0006627705299999999,0.0014515415,20.019628,10.03245,11.35754,28.34876,20.24224,6.63399,44.7579
530.0,0.0008606248199999999,-0.0008921572800000002,0.0017527821,30.270107,17.03734,15.33677,44.30931,30.5197,7.49945,72.43118
540.0,0.00077251097,-0.0010324360300000002,0.001804947,39.361044,24.61308,17.70551,59.49373,39.68203,7.24434,101.89302
550.0,0.00056788961,-0.0010472879900000002,0.0016151776000000002,44.48382,30.49011,17.62773,68.92326,44.85224,6.24603,124.98457
560.0,0.00036291107,-0.00099347193,0.001356383,47.396642,34.81549,16.73149,74.96751,47.73613,5.2938,141.9373
570.0,0.00018924061000000005,-0.0009206216899999999,0.0011098623,49.173902,37.87114,15.6956,79.22186,49.43602,4.40386,152.65265
580.0,5.5041133e-05,-0.0008659388669999999,0.00092098,51.351532,40.75412,15.10628,84.03181,51.53742,3.40981,161.25239
590.0,-5.6918450999999986e-05,-0.0008537568410000001,0.0007968383900000001,55.191712,44.97442,14.92055,91.5351,55.31852,2.14944,174.61249
600.0,-0.00016063323,-0.00089002042,0.00072938719,62.126752,51.83666,15.52163,104.43959,62.20881,1.20789,197.44955
610.0,-0.00027433532000000003,-0.00098651733,0.00071218201,73.56839,62.55803,17.3596,124.49008,73.631,0.72852,233.32216
620.0,-0.00041740268,-0.00116028875,0.00074288607,91.756099,79.12906,20.75352,155.78682,91.84483,0.5673,297.11365
630.0,-0.00061274005,-0.00143719112,0.0008244510700000001,120.51959,104.98316,27.13995,204.74096,120.71283,0.61816,398.07286
640.0,-0.000918011,-0.0019056897000000001,0.0009876787,167.15141,146.64754,37.03667,282.46812,167.58686,0.87148,554.25806
650.0,-0.001415026,-0.0026849683,0.0012699423,243.46312,214.67149,53.92118,411.72156,244.41179,0.30817,804.70687
660.0,-0.0021815832,-0.0038731772000000003,0.001691594,358.65183,316.89279,79.94666,606.39725,360.35531,0.1017,1222.2762
661.0,-0.0022694473,-0.0040068388,0.0017373915,370.9188,327.76582,82.73094,626.5938,372.70324,0.30266,1263.0618
663.0,-0.0024472316,-0.0042745961999999995,0.0018273646,395.53983,349.58064,87.91876,668.7555,397.4929,0.575,1341.5791
665.0,-0.0026241040000000004,-0.0045366624000000005,0.0019125584,419.75603,371.04216,92.67372,709.79561,421.88835,0.36509,1414.6112
667.0,-0.0027946990000000003,-0.0047840733,0.0019893743,442.80274,391.49955,97.15606,745.87902,445.12475,0.17806,1495.4244
669.0,-0.0029524671000000003,-0.0050061602,0.0020536931,463.73759,410.14691,100.96323,783.11541,466.25627,0.15267,1574.2759
670.0,-0.0030241592,-0.005103917499999999,0.0020797583,473.06755,418.49146,102.59024,798.50934,475.68536,0.23988,1608.7871
