lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.0023188996,0.0001410576999999998,0.0021778419,2.2199619,1.33738,1.05007,3.30548,2.22082,0.50542,5.36824
410.0,0.0022685692000000003,0.00012958520000000027,0.002138984,2.232242,1.34395,1.05543,3.32317,2.23305,0.51142,5.39624
420.0,0.0022125162,0.00011833549999999997,0.0020941807,2.2344321,1.34217,1.05814,3.32444,2.23526,0.51767,5.39342
430.0,0.0021617523,0.00010801579999999977,0.0020537365,2.2325889,1.33191,1.06477,3.31538,2.23363,0.52945,5.36719
440.0,0.0021352425,9.96762e-05,0.0020355663,2.2394976,1.31456,1.08793,3.30966,2.24113,0.5564,5.3366
450.0,0.0021136607,9.19409000000003e-05,0.0020217198,2.2427068,1.28631,1.11699,3.29347,2.24514,0.59236,5.27762
460.0,0.0020668799,8.28869000000002e-05,0.001983993,2.216079,1.23533,1.13612,3.22809,2.21943,0.6274,5.13161
470.0,0.0020468284,7.616139999999964e-05,0.001970667,2.2092991,1.18697,1.17416,3.18193,2.21374,0.67816,5.01618
480.0,0.0020805957,7.273449999999982e-05,0.0020078612,2.2441196,1.13567,1.25781,3.17724,2.25026,0.77328,4.94592
490.0,0.0021932326,7.503570000000001e-05,0.0021181969,2.3803491,1.13573,1.39551,3.31441,2.38772,0.90155,5.11223
500.0,0.0024598653,8.86805e-05,0.0023711848,2.7549431,1.27043,1.6483,3.79765,2.76102,1.0897,5.86861
510.0,0.0029340807,0.00012110330000000011,0.0028129774,3.5855852,1.71084,2.07581,4.96695,3.58179,1.35248,7.86682
520.0,0.0035665802000000007,0.00017692830000000078,0.0033896519,5.0830152,2.68494,2.68041,7.21168,5.05567,1.57274,11.9518
530.0,0.0038153322,0.00021659339999999987,0.0035987388,6.4194849,3.88468,2.93764,9.49601,6.37885,1.36514,16.67539
540.0,0.003527535900000001,0.00022069470000000068,0.0033068412,6.9951608,4.75325,2.73964,10.76198,6.95591,0.92773,19.96431
550.0,0.0028675822,0.0001887912999999999,0.0026787909,6.5767265,4.8836,2.18142,10.43889,6.53478,0.49876,20.34902
560.0,0.0022173456,0.00014789420000000005,0.0020694514,5.7572975,4.54693,1.63093,9.34293,5.70263,0.19579,19.15737
570.0,0.001697671,0.00010857719999999996,0.0015890938,4.8106919,3.95496,1.19371,7.93132,4.74552,0.07727,17.36575
580.0,0.0013452165,7.675659999999986e-05,0.0012684599,3.9353292,3.30136,0.90734,6.5403,3.87235,0.03167,15.66185
590.0,0.001142423,5.242500000000004e-05,0.001089998,3.1824164,2.65522,0.7529,5.26636,3.13505,0.02735,14.09042
600.0,0.0010622019,3.514829999999992e-05,0.0010270536,2.6006373,2.06627,0.7476,4.23986,2.57631,0.00753,13.32911
610.0,0.0010925189,2.399740000000013e-05,0.0010685215,2.2103511,1.55025,0.88684,3.42381,2.21507,0.00854,13.71789
620.0,0.0012379848,1.908459999999993e-05,0.0012189002,2.078704,1.16032,1.18291,2.96495,2.12493,0.00698,15.31954
630.0,0.0015212751,2.1916899999999953e-05,0.0014993582,2.3676004,1.04128,1.70981,3.17085,2.48566,0.05655,18.65095
640.0,0.0020406545,3.8031899999999876e-05,0.0020026226,3.5107262,1.46323,2.7122,4.6762,3.75231,0.26181,26.58881
650.0,0.0029376890000000003,7.891040000000031e-05,0.0028587786,6.4169234,2.76391,4.88865,8.56986,6.8443,0.14812,45.34201
660.0,0.0043435491,0.0001629339000000004,0.0041806152,12.632333,5.74087,9.08303,17.16991,13.33,0.19695,92.56828
661.0,0.0045045408,0.0001739484999999999,0.0043305923,13.458731,6.15974,9.60921,18.3169,14.18654,0.10636,100.35641
663.0,0.0048295012,0.0001972902999999998,0.0046322109,15.225034,7.07683,10.70928,20.80157,16.0152,0.00155,116.91947
665.0,0.005151490900000001,0.00022216360000000025,0.0049293273,17.127804,8.09814,11.87358,23.45255,17.98171,0.05066,134.44057
667.0,0.005460420200000001,0.0002481322000000008,0.005212288,19.13898,9.21484,12.99098,26.34255,20.05539,0.32085,152.48514
669.0,0.005744085,0.00027460380000000027,0.0054694812,21.215784,10.4074,14.15368,29.36198,22.18985,0.26573,170.40106
670.0,0.005872025,0.0002877526000000007,0.0055842724,22.260492,11.02243,14.70802,30.87024,23.26042,0.24323,178.87076
671.0,0.0059882103,0.00030071750000000043,0.0056874928,23.297423,11.64298,15.2535,32.39355,24.32049,0.2388,186.89409
673.0,0.0061778102,0.0003254377999999999,0.0058523724,25.306945,12.87714,16.24734,35.45216,26.3665,0.25069,200.74417
675.0,0.0062990471,0.0003476251000000003,0.005951422,27.15704,14.05843,17.14545,38.2816,28.23765,0.441,210.93873
677.0,0.0063417216,0.0003661971999999996,0.0059755244,28.761388,15.13608,17.823,40.75441,29.84605,0.57682,216.58926
679.0,0.0063011089,0.00038028669999999945,0.0059208222,30.047118,16.06667,18.27326,42.77708,31.11886,0.52291,217.17771
680.0,0.0062498088,0.00038547829999999953,0.005864330500000001,30.554153,16.46679,18.45106,43.61609,31.61359,0.52289,215.60269
681.0,0.0061800658,0.0003890858999999998,0.0057909799,30.946859,16.80499,18.50142,44.30973,31.99085,0.58098,212.85237
683.0,0.0059884499,0.00039270029999999984,0.0055957496,31.458327,17.34423,18.46756,45.30997,32.46337,0.36755,204.11732
685.0,0.0057350924,0.00039156369999999996,0.0053435287,31.601305,17.69302,18.15144,45.85547,32.55933,0.17809,191.58175
687.0,0.0054320502,0.00038596449999999966,0.0050460857,31.39048,17.85071,17.73325,45.8774,32.29652,0.08758,176.08361
689.0,0.0050935336,0.0003764382000000007,0.004717095399999999,30.860847,17.82744,17.06356,45.32593,31.71248,0.06009,158.70597
690.0,0.0049156894,0.0003704215000000007,0.004545267899999999,30.492431,17.75414,16.68964,45.02419,31.31656,0.06954,149.70952
691.0,0.004734564,0.00036370490000000016,0.0043708591,30.064836,17.64408,16.19478,44.47287,30.86149,0.09733,143.2981
693.0,0.004369110900000001,0.00034857290000000086,0.004020538,29.063432,17.32836,15.31285,43.1967,29.80586,0.2152,135.01843
695.0,0.004009039,0.0003318526999999999,0.0036771863,27.919104,16.91109,14.45629,41.695,28.60897,0.28244,127.14883
697.0,0.0036634626,0.00031428979999999955,0.0033491728000000004,26.68944,16.42216,13.48337,40.0142,27.32909,0.40925,119.88408
699.0,0.0033387198,0.0002964838,0.003042236,25.423192,15.88756,12.57087,38.26921,26.01538,0.40874,113.21586
700.0,0.0031854741,0.000287645,0.0028978291,24.78926,15.61026,12.1317,37.3781,25.35882,0.25136,110.05219
701.0,0.0030387193,0.0002789139999999999,0.0027598053000000003,24.160248,15.32944,11.71553,36.56041,24.7079,0.14947,106.97475
710.0,0.0020084656,0.00021031959999999982,0.001798146,19.154128,12.91797,8.53619,29.39042,19.53445,0.01122,80.77221
720.0,0.00130381,0.00015563950000000012,0.0011481705,15.069937,10.71801,6.10339,23.51374,15.30543,0.04711,58.50017
730.0,0.00090837349,0.00012026179999999993,0.00078811169,12.408037,9.1682,4.65042,19.71746,12.54797,0.00067,54.11189
740.0,0.00068217998,9.716021000000003e-05,0.00058501977,10.678817,8.1334,3.68929,17.1447,10.76188,0.03416,49.72034
750.0,0.00053615158,8.058658999999987e-05,0.0004555649900000001,9.4370269,7.3692,3.02155,15.28223,9.48722,0.0342,49.07003
760.0,0.00043873362,6.826812999999999e-05,0.00037046549,8.5199662,6.77843,2.59036,13.86822,8.55163,0.03645,46.14094
770.0,0.0003681281,5.869094000000001e-05,0.00030943716,7.8037104,6.29694,2.28371,12.71941,7.82229,0.02895,40.49247
780.0,0.00031603848,5.1140790000000016e-05,0.00026489769,7.2402305,5.89751,2.03294,11.82717,7.24758,0.00027,37.32047
790.0,0.00027649217,4.5074720000000005e-05,0.00023141745,6.7880312,5.56462,1.83196,11.13834,6.78371,0.00152,38.39976
800.0,0.00024523217999999994,4.009969999999995e-05,0.00020513248,6.4173079,5.2868,1.67488,10.55318,6.40085,0.00153,39.40255
810.0,0.0002201102,3.5937039999999994e-05,0.00018417316,6.1072114,5.05518,1.54315,10.03995,6.08161,0.00688,37.53578
820.0,0.00020041444,3.241816e-05,0.00016799628,5.8480629,4.85997,1.44584,9.64667,5.81805,0.00107,33.59024
830.0,0.00018371716,2.9413690000000005e-05,0.00015430347,5.6332701,4.69199,1.3827,9.32188,5.60055,0.00033,29.02507
840.0,0.00017036029999999998,2.6853289999999975e-05,0.00014350701,5.4512961,4.55219,1.33659,8.98261,5.41788,0.0006,24.59321
850.0,0.00015967947,2.4653450000000014e-05,0.00013502601999999998,5.29666,4.4344,1.29893,8.72137,5.26353,0.00093,21.77659
860.0,0.0001505737,2.2755250000000012e-05,0.00012781845,5.1625868,4.33657,1.24719,8.53701,5.12967,0.00089,20.09184
870.0,0.00014171552,2.1107169999999998e-05,0.00012060835,5.0385952,4.25252,1.20582,8.3511,5.00478,0.00018,18.56485
880.0,0.00013220444,1.964238e-05,0.00011256206,4.9160226,4.17615,1.14957,8.17128,4.87987,0.00039,18.12107
890.0,0.00012193955,1.8321079999999995e-05,0.00010361847,4.7921763,4.1049,1.09616,7.98917,4.75387,0.0042,17.9589
900.0,0.00011249226,1.7122529000000004e-05,9.5369731e-05,4.6710964,4.03575,1.03145,7.81832,4.63019,5e-05,17.71848
