#Lambda,Qext,Qsca,Qabs,E^2
400.0,0.00056233425,-0.00022697541000000002,0.00078930966,3.4011355
410.0,0.00054865292,-0.00023165626000000005,0.00078030918,3.4471784
420.0,0.00053344813,-0.00023295833,0.00076640646,3.4629457
430.0,0.00052303723,-0.00023278589999999998,0.00075582313,3.4789962
440.0,0.00052840888,-0.00023477435,0.00076318323,3.5483109
450.0,0.00053759746,-0.0002357762,0.00077337366,3.6349821
460.0,0.00053565503,-0.00022871953999999996,0.00076437457,3.6405052
470.0,0.00054656499,-0.00022734162000000006,0.00077390661,3.7444729
480.0,0.00059016779,-0.00023561490999999993,0.0008257827,4.003293
490.0,0.00066841794,-0.00026737993000000007,0.00093579787,4.6351309
500.0,0.00081918767,-0.0003490034300000001,0.0011681911,6.1969907
510.0,0.0010716778,-0.0005116349999999999,0.0015833128,9.7384297
520.0,0.0014112977,-0.0007680858000000002,0.0021793835,16.82998
530.0,0.0015669798,-0.0010078537,0.0025748335,24.998356
540.0,0.0014563938,-0.001141874,0.0025982678,31.872783
550.0,0.001132274,-0.0011273307,0.0022596047,34.927031
560.0,0.0007966743,-0.0010334842,0.0018301585,35.758277
570.0,0.00051380745,-0.00092164625,0.0014354537,35.432944
580.0,0.00030416198,-0.0008270705199999999,0.0011312325,35.016147
590.0,0.00015235388,-0.00075893534,0.00091128922,34.800644
600.0,4.3140312e-05,-0.0007149408680000001,0.00075808118,35.287584
610.0,-4.3046578e-05,-0.000698497368,0.00065545079,36.888977
620.0,-0.00011763319,-0.0007054160500000001,0.00058778286,39.822265
630.0,-0.00018574078,-0.00072789489,0.00054215411,44.233868
640.0,-0.0002588095,-0.00077830352,0.00051949402,50.54398
650.0,-0.0003455335,-0.00086421577,0.00051868227,59.500565
660.0,-0.00046007039,-0.0010030447399999999,0.00054297435,72.372247
670.0,-0.00063740264,-0.0012483703599999998,0.00061096772,91.065424
680.0,-0.00091251812,-0.00164154572,0.0007290276,119.74706
690.0,-0.0013478749,-0.00226799772,0.00092012282,163.72224
700.0,-0.0021076814,-0.0033575945,0.0012499131,238.22798
710.0,-0.0034437716,-0.0052341667,0.0017903951,363.8552
720.0,-0.0054587028,-0.0079414717,0.0024827689,543.77848
730.0,-0.0058850966,-0.0082481213,0.0023630247,555.18937
740.0,-0.0042362847,-0.0057656645999999995,0.0015293799,378.02982
750.0,-0.0027266086,-0.00361673224,0.00089012364,230.66814
760.0,-0.0018100391,-0.00234858376,0.00053854466,145.51204
770.0,-0.0012444813,-0.00158337937,0.00033889807,95.59468
780.0,-0.00089471358,-0.00111874559,0.00022403201,65.944794
790.0,-0.00066900008,-0.0008236700899999999,0.00015467001,47.444195
800.0,-0.00051650433,-0.00062681381,0.00011030948,35.321034
810.0,-0.00041003808,-0.00049096541,8.092733e-05,27.047848
820.0,-0.00033358248,-0.000394444067,6.0861587e-05,21.22488
830.0,-0.00027433723,-0.000320502396,4.6165166e-05,16.965128
840.0,-0.00022998039,-0.000265806885,3.5826495e-05,13.831821
850.0,-0.00019575104,-0.000224177524,2.8426484e-05,11.479479
860.0,-0.00016821398,-0.00019114944,2.293546e-05,9.6611188
870.0,-0.00014564892,-0.000164403237,1.8754317e-05,8.217407
880.0,-0.00012701572,-0.000142516983,1.5501263e-05,7.048264
890.0,-0.0001117889,-0.00012475887500000001,1.2969975e-05,6.087848
900.0,-0.00010069904,-0.000111828984,1.1129944e-05,5.3243815
