#Lambda,Qext,Qsca,Qabs,E^2
400.0,0.0025963589,0.0001415009,0.002454858,1.6244425
410.0,0.0025495731,0.00013071799999999972,0.0024188551,1.6361501
420.0,0.0024935605,0.00011991819999999974,0.0023736423,1.6420774
430.0,0.0024312765,0.0001092351000000001,0.0023220414,1.6411063
440.0,0.0023672664,9.883320000000006e-05,0.0022684332,1.632088
450.0,0.0022971471,8.878309999999986e-05,0.002208364,1.6165671
460.0,0.0022056534,7.831529999999991e-05,0.0021273381,1.5901094
470.0,0.0021263828,6.95734e-05,0.0020568094,1.5660298
480.0,0.0020416155,6.138879999999973e-05,0.0019802267,1.5349939
490.0,0.0019935688,5.679060000000013e-05,0.0019367782,1.5283851
500.0,0.0019953,5.7206700000000206e-05,0.0019380933,1.5688875
510.0,0.0020471125,6.447640000000008e-05,0.0019826361,1.6943152
520.0,0.0021362184,8.010580000000029e-05,0.0020561126,1.9529463
530.0,0.0023703248,0.00010724559999999994,0.0022630792,2.4199107
540.0,0.002718407,0.0001490008000000001,0.0025694062,3.1715032
550.0,0.0032321671,0.00021440489999999994,0.0030177622,4.3633676
560.0,0.0039241338,0.00031372249999999996,0.0036104113,6.2287491
570.0,0.0050076475,0.000477463,0.0045301845,9.4594178
580.0,0.0067657574,0.0007554729999999996,0.0060102844,15.334402
590.0,0.0096644909,0.001236300499999999,0.0084281904,26.270926
600.0,0.01345976,0.0019361509999999988,0.011523609,43.773833
610.0,0.015548466,0.0024644650000000008,0.013084001,59.964054
620.0,0.013377719,0.002292133,0.011085586,60.499221
630.0,0.0096391419,0.0017582566000000008,0.0078808853,50.624514
640.0,0.0067061944,0.0012708404999999994,0.0054353539,40.088001
650.0,0.0048805865,0.0009440810999999999,0.0039365054,32.645511
660.0,0.0037248605,0.0007378604,0.0029870001,27.751761
670.0,0.0028729263,0.0005930381000000002,0.0022798882,23.790825
680.0,0.0021879676,0.00047953860000000004,0.001708429,20.331264
690.0,0.0016805477,0.0003897460999999999,0.0012908016,17.44083
700.0,0.0013181437,0.00032012997999999993,0.00099801372,15.125922
710.0,0.0010549438,0.00026636040000000013,0.0007885834,13.292815
720.0,0.00085792145,0.00022393102000000005,0.00063399043,11.825756
730.0,0.0007108153,0.0001906601500000001,0.00052015515,10.661748
740.0,0.00060003759,0.00016435789000000003,0.0004356797,9.7357472
750.0,0.00051475941,0.00014305269000000002,0.00037170672,8.9782513
760.0,0.00044851762,0.00012560787,0.00032290975,8.3519578
770.0,0.00039512444,0.00011107823999999999,0.0002840462,7.8240416
780.0,0.00035079429,9.889993999999999e-05,0.00025189435,7.3761842
790.0,0.00031335907,8.857135000000003e-05,0.00022478772,6.98968
800.0,0.00028157069,7.973872999999997e-05,0.00020183196,6.653489
810.0,0.00025435892,7.211847e-05,0.00018224045,6.3596352
820.0,0.00023087832,6.551008e-05,0.00016536824,6.1010745
830.0,0.00020867389,5.970621e-05,0.00014896768,5.8710333
840.0,0.00018945515,5.462094999999999e-05,0.0001348342,5.6666727
850.0,0.00017287838,5.0139570000000015e-05,0.00012273881,5.4833461
860.0,0.0001586202,4.6170050000000004e-05,0.00011245015,5.318385
870.0,0.00014630736,4.263316000000001e-05,0.0001036742,5.1696333
880.0,0.00013554809,3.947627900000001e-05,9.6071811e-05,5.0347218
890.0,0.00012611604,3.6644009000000015e-05,8.9472031e-05,4.9121
900.0,0.00011900658,3.4125332000000004e-05,8.4881248e-05,4.8038701
910.0,0.00011282055,3.184884800000001e-05,8.0971702e-05,4.7048072
920.0,0.0001071528,2.977398299999999e-05,7.7378817e-05,4.6128594
930.0,0.00010196892,2.787907899999999e-05,7.4089841e-05,4.5274587
940.0,9.7232103e-05,2.6144588000000008e-05,7.1087515e-05,4.4482109
950.0,9.2890853e-05,2.4553083999999997e-05,6.8337769e-05,4.3746446
960.0,8.889223e-05,2.3091712e-05,6.5800518e-05,4.306206
970.0,8.5191998e-05,2.174206e-05,6.3449938e-05,4.2423757
980.0,8.1759175e-05,2.0500646000000004e-05,6.1258529e-05,4.1826154
990.0,7.8329588e-05,1.9346618999999994e-05,5.8982969e-05,4.1259989
1000.0,nan,nan,nan,nan
