#Lambda,Qext,Qsca,Qabs,E^2
400.0,3.0434681e-06,-5.244921e-06,8.2883891e-06,2.37175
410.0,2.9596793e-06,-5.2810716e-06,8.2407509e-06,2.4093246
420.0,2.8826461e-06,-5.2431774e-06,8.1258235e-06,2.4295571
430.0,2.8742456e-06,-5.2018341999999994e-06,8.0760798e-06,2.4595959
440.0,3.0471939e-06,-5.292360899999999e-06,8.3395548e-06,2.5501428
450.0,3.285665e-06,-5.3697855e-06,8.6554505e-06,2.6585538
460.0,3.4518435e-06,-5.2015741e-06,8.6534176e-06,2.7039603
470.0,3.7413578e-06,-5.210201000000001e-06,8.9515588e-06,2.8262354
480.0,4.4501013e-06,-5.6258167000000004e-06,1.0075918e-05,3.1153169
490.0,5.530622e-06,-6.813220999999999e-06,1.2343843e-05,3.6872551
500.0,7.4622726e-06,-9.921977399999998e-06,1.738425e-05,4.9637238
510.0,1.0664963e-05,-1.7033001e-05,2.7697964e-05,7.7596943
520.0,1.5014365e-05,-3.1073365e-05,4.608773e-05,13.638582
530.0,1.6198876e-05,-4.882676e-05,6.5025636e-05,21.88974
540.0,1.2749668e-05,-6.8140674e-05,8.0890342e-05,32.594091
550.0,4.2561494e-06,-8.54948096e-05,8.9750959e-05,44.637474
560.0,-7.1121911e-06,-0.0001020843351,9.4972144e-05,59.401662
570.0,-2.0970386e-05,-0.000118345553,9.7375167e-05,77.703934
580.0,-3.6252437e-05,-0.000135268498,9.9016061e-05,100.92017
590.0,-4.9995688e-05,-0.00014512101999999998,9.5125332e-05,122.59989
600.0,-5.1343525e-05,-0.00012594159,7.4598065e-05,120.25183
610.0,-3.798316e-05,-8.2421186e-05,4.4438026e-05,88.333059
620.0,-2.3877295e-05,-4.7544248e-05,2.3666953e-05,56.461998
630.0,-1.4784567e-05,-2.7689081e-05,1.2904514e-05,36.37248
640.0,-9.4015733e-06,-1.6710398699999998e-05,7.3088254e-06,24.149356
650.0,-6.2584715e-06,-1.0655679300000001e-05,4.3972078e-06,16.775787
660.0,-4.372393e-06,-7.2755076e-06,2.9031146e-06,12.186508
670.0,-3.2456155e-06,-5.331341799999999e-06,2.0857263e-06,9.140023
680.0,-2.4959211e-06,-4.064223e-06,1.5683019e-06,7.0531456
690.0,-1.9953429e-06,-3.2565465999999997e-06,1.2612037e-06,5.5992671
700.0,-1.6514389e-06,-2.7705576e-06,1.1191187e-06,4.5586056
710.0,-1.3983793e-06,-2.4904765e-06,1.0920972e-06,3.8064279
720.0,-1.1900165e-06,-2.2608018e-06,1.0707853e-06,3.2318053
730.0,-1.0225309e-06,-2.0233584e-06,1.0008275e-06,2.7663671
740.0,-9.0023037e-07,-1.89427581e-06,9.9404544e-07,2.4100128
750.0,-8.0915804e-07,-1.8470681400000001e-06,1.0379101e-06,2.1402801
760.0,-7.4262612e-07,-1.78431252e-06,1.0416864e-06,1.9161919
770.0,-6.9011048e-07,-1.6717806199999998e-06,9.8167014e-07,1.7105213
780.0,-6.4634678e-07,-1.54973582e-06,9.0338904e-07,1.5286492
790.0,-6.0996236e-07,-1.46335639e-06,8.5339403e-07,1.3819468
800.0,-5.7692829e-07,-1.40618669e-06,8.292584e-07,1.2672847
810.0,-5.5112897e-07,-1.38016281e-06,8.2903384e-07,1.1806324
820.0,-5.3765468e-07,-1.3808192399999999e-06,8.4316456e-07,1.114997
830.0,-5.2713868e-07,-1.3872303800000001e-06,8.600917e-07,1.0686992
840.0,-5.048635e-07,-1.36789833e-06,8.6303483e-07,1.029085
850.0,-4.6865947e-07,-1.29921522e-06,8.3055575e-07,0.97642757
860.0,-4.4021836e-07,-1.25099391e-06,8.1077555e-07,0.92802157
870.0,-4.2880468e-07,-1.22945548e-06,8.006508e-07,0.88688913
880.0,-4.2907327e-07,-1.20160896e-06,7.7253569e-07,0.84324006
890.0,-4.3158756e-07,-1.1790220300000001e-06,7.4743447e-07,0.80712353
900.0,-4.2924955e-07,-1.16244843e-06,7.3319888e-07,0.77732336
910.0,-4.2084782e-07,-1.1442308499999999e-06,7.2338303e-07,0.75274401
920.0,-4.1313384e-07,-1.13677607e-06,7.2364223e-07,0.73675522
930.0,-4.1056971e-07,-1.1504104700000001e-06,7.3984076e-07,0.73165476
940.0,-4.1128971e-07,-1.17921773e-06,7.6792802e-07,0.73371749
950.0,-4.1322209e-07,-1.2133334499999999e-06,8.0011136e-07,0.737694
960.0,-4.1642573e-07,-1.2468312e-06,8.3040547e-07,0.74123957
970.0,-4.1842372e-07,-1.27303922e-06,8.546155e-07,0.74312348
980.0,-4.167713e-07,-1.28923049e-06,8.7245919e-07,0.74272943
990.0,-4.1175074e-07,-1.30046839e-06,8.8871765e-07,0.74362126
1000.0,nan,nan,nan,nan
